$rawName$,$cleanName$,$xlateName$,$status$
$Anadarko Petroleum Corporation$,$anadarko petroleum corporation$,$anadarko petroleum$,$curated$
$Anadarko Petroluem$,$anadarko petroluem$,$anadarko petroleum$,$curated$
$AnadarkoPetroleum$,$anadarkopetroleum$,$anadarko petroleum$,$curated$
$Anadrko Petroleum$,$anadrko petroleum$,$anadarko petroleum$,$curated$
$Anardako Petroleum$,$anardako petroleum$,$anadarko petroleum$,$curated$
$Anchor$,$anchor$,$anchor$,$curated$
$Anchor Drilling Fluids$,$anchor drilling fluids$,$anchor$,$curated$
$ANCHOR DRILLING FLUIDS USA INC$,$anchor drilling fluids usa inc$,$anchor$,$curated$
$and carboxyl functional groups, sodium salt$,$and carboxyl functional groups, sodium salt$,$not a company$,$curated$
$and Production Services$,$and production services$,$ambiguous$,$curated$
$Andadarko Petroleum$,$andadarko petroleum$,$anadarko petroleum$,$curated$
$Andarko Petroleum$,$andarko petroleum$,$anadarko petroleum$,$curated$
